principal analysis set accession	annotation file accession	lab	pseudobulking status	processed date	missing annotations columns	uniform pipeline status
IGVFDS8550UJMK	IGVFFI1092HXBU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7279IJVK	IGVFFI3119DDMI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4996CJPK	IGVFFI4841JCJG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5651XTFQ	IGVFFI2787SCAJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0022XYCA	IGVFFI8775LWTN	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4512ZHGG	IGVFFI4018SEVY	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6399NFZO	IGVFFI9496BUJW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2548PTNT	IGVFFI7296UUVP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4284RVZG	IGVFFI0130CJQT	/labs/hannah-carter/	unattempted			completed
IGVFDS2343CSCN	IGVFFI6793FUBX	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5744OHQK	IGVFFI8229DDKG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6119LKCZ	IGVFFI7163QSIK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5354SSEN	IGVFFI0553SFPG	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7242YDEX	IGVFFI3757JYVZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1735JEXA	IGVFFI6380LOEH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6789IPVH	IGVFFI7071IVKZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2187SFYQ	IGVFFI7980ETRF	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3844FXAW	IGVFFI9856DDBM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4258QDIT	IGVFFI4012QJUB	/labs/ansuman-satpathy/	needs-fix	2026-06-04T00:45:18.361721+00:00	subsample,CL_term_name,analysis_set_accession,CL_id,cell_description,barcode_sample,cell_name	UNKNOWN
IGVFDS6179PMJW	IGVFFI2441NUXZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2359HJKU	IGVFFI6245NDZI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7312CNYE	IGVFFI1419AOBZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3881MVOJ	IGVFFI5459CVYA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2878SAAH	IGVFFI7186BVAC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1022JJNV	IGVFFI9769YSBF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6822LRNN	IGVFFI1242HZIK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4760KZOT	IGVFFI7760OWYP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3598RGBA	IGVFFI6610YBCM	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7024NHKY	IGVFFI0008SIJS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1947MLAF	IGVFFI8603FZGR	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0908DBZI	IGVFFI8866DGDA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3867VTIH	IGVFFI5971UYJW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0889OXXG	IGVFFI9237NHVN	/labs/ali-mortazavi/	unattempted			completed
IGVFDS2949ZZKW	IGVFFI3312ICNH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5426TRFN	IGVFFI1537RLAN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4669WIDX	IGVFFI0851JWKP	/labs/ali-mortazavi/	unattempted			completed
